POSICION;FECHA;ANTERIOR;PRIMERO;MINIMO;MAXIMO;ULTIMO;VOLUMEN;AJUSTE;VAR %;IA;VAR. IA;TRADES,,,,,,,,,
MAI.ROS/DIC22;05-07-2022;225,500000;220,000000;215,000000;220,000000;217,000000;321;217,000000;-3,769401;6095,000000;-62,000000;200
MAI.ROS/DIC22;06-07-2022;217,000000;218,000000;217,000000;223,500000;222,000000;395;222,000000;2,304147;6254,000000;159,000000;234
MAI.ROS/DIC22;07-07-2022;222,000000;230,000000;227,300000;230,000000;228,500000;392;228,500000;2,927928;6157,000000;-97,000000;250
MAI.ROS/DIC22;08-07-2022;228,500000;232,000000;232,000000;239,500000;238,500000;494;238,500000;4,376368;6274,000000;117,000000;287
MAI.ROS/DIC22;11-07-2022;238,500000;242,800000;235,800000;242,800000;236,500000;280;236,500000;-0,838574;6315,000000;41,000000;144
MAI.ROS/DIC22;12-07-2022;236,500000;233,000000;225,000000;233,200000;225,000000;209;225,000000;-4,862579;6335,000000;20,000000;123
MAI.ROS/DIC22;13-07-2022;225,000000;228,500000;228,500000;233,000000;229,000000;210;229,000000;1,777778;6336,000000;1,000000;136
MAI.ROS/DIC22;04-07-2022;227,000000;227,000000;225,000000;227,000000;225,500000;137;225,500000;-0,660793;6157,000000;68,000000;63
MAI.ROS/DIC22;01-07-2022;235,500000;231,500000;226,500000;231,500000;227,000000;125;227,000000;-3,609342;6089,000000;39,000000;76
MAI.ROS/DIC22;29-06-2022;249,500000;249,000000;241,500000;249,000000;241,500000;268;241,500000;-3,206413;5972,000000;142,000000;156
MAI.ROS/DIC22;30-06-2022;241,500000;240,000000;235,000000;240,000000;235,500000;249;235,500000;-2,484472;6050,000000;78,000000;129
MAI.ROS/DIC22;23-06-2022;251,500000;246,000000;239,000000;246,500000;242,000000;313;242,000000;-3,777336;5486,000000;151,000000;180
MAI.ROS/DIC22;24-06-2022;242,000000;243,700000;243,700000;247,500000;245,500000;333;245,500000;1,446281;5617,000000;131,000000;153
